mfcc_13,label
24.081152,0
19.286951,0
16.352468,0
18.55313,0
-14.780164,0
-17.015696,0
-19.250246,0
-13.039112,0
25.89408,0
16.759388,0
19.039286,0
-13.52826,0
-13.699762,0
18.72854,0
18.800417,0
27.768229,0
5.751535,0
4.9474134,0
5.751535,0
12.875224,0
-0.08073273,0
12.742846,0
22.816608,0
23.798887,0
22.982603,0
14.210671,0
-1.8428539,0
20.921398,0
-5.470063,0
29.487911,0
38.07204,0
25.828335,0
-6.6959653,0
6.9321523,0
-26.5072,0
-13.610305,0
26.210892,0
-16.022934,0
32.67968,0
46.813107,0
36.47145,0
34.140118,0
35.608437,0
14.481365,0
-11.295384,0
-10.603452,0
3.388251,0
33.75256,0
-5.3503866,0
-22.62362,0
10.778946,0
8.380416,0
16.730532,0
6.882715,0
-15.579847,0
-16.683502,0
-10.624174,0
-6.765791,0
-7.440595,0
-21.273077,0
2.0676923,0
-23.08945,0
1.5609311,0
2.2642143,0
3.778719,0
-11.360151,0
8.307686,0
10.552542,0
2.3789327,0
-23.045301,0
4.0513234,0
-7.858508,0
-26.277052,0
-24.042368,0
-21.74382,0
9.509205,0
4.465273,0
10.444451,0
4.7416196,0
2.9377902,0
46.98094,0
33.41996,0
15.448244,0
1.6400094,0
3.808485,1
5.651785,1
-0.80568844,1
0.40739307,1
2.209326,1
-4.1013246,1
-0.09123883,1
1.14997,1
-2.132419,1
-4.0583963,1
-1.1191081,1
2.002202,1
-3.9305856,1
-2.1141653,1
-5.005527,1
-0.3975473,1
-0.7646475,1
-0.2776312,1
0.8602937,1
1.6761676,1
0.8282519,1
8.07493,1
5.314214,1
3.5624368,1
3.8376071,1
1.7938604,1
10.404752,1
10.522984,1
0.28334492,1
3.8180418,1
7.023106,1
-4.1571264,1
2.1719685,1
-2.3940523,1
-1.5141269,1
-4.142824,1
-3.8426313,1
-2.560906,1
-1.5730627,1
-0.32334325,1
0.3665016,1
-2.0851274,1
-1.6719524,1
-2.6936512,1
-0.18358055,1
0.5216712,1
1.0921276,1
2.7805183,1
1.2722435,1
1.9539603,1
0.07828333,1
-1.1051693,1
1.3570172,1
-1.9229134,1
-0.51912665,1
1.0075332,1
0.11130327,1
1.1817881,1
1.0148546,1
0.63232064,1
1.9308984,1
-1.7181888,1
-0.36799797,1
5.094062,1
-2.1341581,1
-0.43820226,1
-0.05056425,1
5.100353,1
-0.5108357,1
0.29117557,1
1.3106765,1
1.9695699,1
2.2006226,1
-6.728985,1
-6.593259,1
-4.237304,1
1.4857852,1
0.13220093,1
1.1597339,1
-1.9370962,1
0.042619675,1
-3.1695955,1
3.4184706,1
1.6088424,1
2.5571012,1
-4.1055136,1
2.1330392,1
2.802913,1
-0.36384916,1
1.0765489,1
4.656509,1
3.0459685,1
-1.3142532,1
-1.2690066,1
2.311097,1
-5.5749407,1
-3.3545942,1
3.0920336,1
1.5642164,1
3.3758295,1
-3.3285556,1
-1.790799,1
3.795496,1
-0.1844443,1
2.6697211,1
1.583107,1
1.517432,1
0.048895605,1
2.175053,1
-5.346661,1
2.441607,1
3.0739653,1
-2.8081677,1
-9.605967,1
-7.886952,1
-7.886952,1
-7.886952,1
-0.051456086,1
-7.886952,1
-3.8034813,1
-1.4774067,1
-2.4281988,1
-1.997466,1
-2.456537,1
-0.5859034,1
1.9191966,1
-1.2549257,1
-0.03901457,1
1.3717542,1
-1.2605882,1
1.9192055,1
-0.9232967,1
0.14051148,1
-0.7138292,1
2.5816119,1
-2.150807,1
-2.7675023,1
-4.815976,1
1.4327586,1
-1.9577867,1
0.19285397,1
-2.6209438,1
-2.2285554,1
-4.9310737,1
0.6407849,1
-0.15599896,1
-0.054254167,1
2.887279,1
0.6655947,1
1.6999452,1
4.1131716,1
3.3865588,1
3.0054052,1
1.6571932,1
-0.14750852,1
-0.94649255,1
3.0153923,1
0.41904795,1
-1.5745281,1
-2.9286368,1
-1.4614685,1
-2.357926,1
0.05711392,1
0.42525133,1
0.031310823,1
5.470168,1
2.7629852,1
-0.15888809,1
1.1850432,1
2.0521603,1
-0.44727924,1
-1.1619751,1
2.1027558,1
-0.027350819,1
-0.6183514,1
4.151261,1
3.4338884,1
0.36824334,1
0.36824334,1
3.36881,1
0.24916935,1
4.843979,1
-2.5351324,1
-2.6415021,1
-2.3927305,1
2.362324,1
-1.0947753,1
-1.4267033,1
-0.28629318,1
1.2415239,1
-1.6285801,1
5.4675655,1
-0.77076715,1
-1.3929311,1
4.9788065,1
1.9402845,1
2.3257697,1
1.4663094,1
0.51980215,1
2.5315945,1
-1.0053809,1
0.73778516,1
2.1156366,1
1.0157473,1
0.41678083,1
-3.234719,1
-0.22925848,1
-1.6488377,1
-0.16282421,1
2.7088633,1
1.9295594,1
2.443775,1
-2.110572,1
-2.1284182,1
-5.938416,1
-1.3744515,1
-0.057106797,1
2.00878,1
-1.4574077,1
0.89246446,1
14.638326,2
17.332644,2
35.18798,2
-7.520206,2
-15.510866,2
14.499908,2
2.6325762,2
17.211823,2
-20.41887,2
2.426659,2
-1.703694,2
4.368934,2
11.471044,2
-12.375799,2
-19.25264,2
33.362896,2
1.2513766,2
-20.917124,2
5.009834,2
17.786148,2
-18.759659,2
7.616012,2
3.5148215,2
11.0621805,2
-6.8168006,2
3.1532328,2
-4.649263,2
12.818175,2
6.111398,2
1.6292892,2
-14.850147,2
7.2648845,2
-9.788977,2
2.1265655,2
18.877932,2
-3.8945105,2
20.295372,2
-20.896584,2
0.47307593,2
-21.550665,2
-13.965785,2
16.317266,2
-14.1123295,2
10.916142,2
-6.0000224,2
-15.564591,2
